Days ago,Price (USD),Market Cap (USD),Volume (USD),Days ago,Price (USD),Market Cap (USD),Volume (USD),CV_9day,CC_9day,CV_20day,CC_20day,CV_50day,CC_50day,CV_200day,CC_200day,CV_365day,CC_365day
46.0,3.331053366512541,0.0,5780728.4915736485,46.0,47725.14804631933,902655839568.4547,29538983233.48695,14.2400642362895,0.6859393214509868,10.053956827334098,0.14034016064526378,257.0522573431868,0.24665121188647432,1177.8987525854193,0.3226115885428621,,
47.0,3.387506693367721,0.0,4898836.2838676,47.0,50774.067814743,960280703699.8921,22793878136.833546,13.021093332760316,0.5950975845991221,22.21455468864914,0.2642288989617335,277.2464326939388,0.2533319587018652,1180.6154961525347,0.3225362241848046,,
48.0,3.395215935671031,0.0,13962532.3963108,48.0,50852.860259540656,961723851972.3851,19632044502.131416,9.017189880227418,0.43252247981469844,35.00915564609378,0.3674260509679415,286.68950640649274,0.255407768398423,1178.73459317771,0.32127792511501724,,
49.0,3.393888686653576,0.0,8067898.995323062,49.0,50663.48710213215,958099737762.7762,17235296605.82555,3.114031642447903,0.14669847073766726,43.0486761647849,0.4327339718442234,284.11361589125937,0.24855811220670318,1170.7806971034815,0.3184485034632547,,
50.0,3.4122326492265227,0.0,3315865.0546889403,50.0,50888.72103678683,962312381228.0947,22535489970.197155,-0.03701784110927215,-0.0018522979360077402,45.76580971663003,0.45880899923732266,277.2945767572799,0.2386159075176754,1160.8118288167955,0.3142838661265842,,
51.0,3.420124859979638,0.0,4725832.329945611,51.0,50900.61494951601,960809259355.0854,26419703744.656948,-0.9795971111299511,-0.05244633509275653,50.20794303877518,0.48578641601652317,268.7719211343612,0.22745661759369215,1158.429129019596,0.3122799723438581,,
52.0,3.4076149241738736,0.0,7682014.362543936,52.0,48755.89564404483,921888029984.8673,21887790445.928295,-2.9986499955042967,-0.19136571251290652,72.07401454837334,0.5430275394238867,251.4675768651615,0.2082810391657502,1147.8404830602508,0.30850943915671425,,
53.0,3.4971253769306156,0.0,4569166.056696077,53.0,49145.21725849885,929203956014.2224,25764127608.31085,-7.871563952116743,-0.40915524018639277,107.63776147747848,0.5550305180249564,229.4461507723357,0.18560167150554785,1133.9986021354928,0.30360967202168193,,
54.0,3.5864663091658433,0.0,5583005.692346932,54.0,47117.008204210455,890808857615.3627,29356191956.181854,-6.0782483030207555,-0.2774191103519675,134.8393420548854,0.5455341319993243,201.03090306710334,0.1593506726702489,1128.1864715519102,0.30147104917838285,,
55.0,3.4714039147523224,0.0,4846957.300604989,55.0,46807.04861642627,884905649263.6449,23002876885.701263,-0.3153279873580478,-0.01232280248446676,145.5426734360094,0.5071765266426495,169.16307021970297,0.13108657411111485,1125.5943571520663,0.3006644924387795,,
